Identifiant PRM;Date de début;Date de fin;Grandeur physique;Grandeur métier;Etape métier;Unité;Horodate;Valeur;Nature;Pas;Indice de vraisemblance;Etat complémentaire
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 12:00:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 12:30:00;120;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 13:00:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 13:30:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 14:00:00;120;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 14:30:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 15:00:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 15:30:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 16:00:00;120;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 16:30:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 17:00:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 17:30:00;120;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 18:00:00;11582;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 18:30:00;18428;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 19:00:00;18416;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 19:30:00;18362;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 20:00:00;18354;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 20:30:00;18290;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 21:00:00;3872;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 21:30:00;2906;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 22:00:00;100;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 22:30:00;100;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 23:00:00;116;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 23:30:00;132;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 00:00:00;134;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 00:30:00;134;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 01:00:00;104;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 01:30:00;100;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 02:00:00;132;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 02:30:00;132;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 03:00:00;134;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 03:30:00;134;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 04:00:00;132;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 04:30:00;134;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 05:00:00;134;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 05:30:00;132;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 06:00:00;134;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 06:30:00;132;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 07:00:00;150;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 07:30:00;130;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 08:00:00;120;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 08:30:00;138;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 09:00:00;156;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 09:30:00;154;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 10:00:00;140;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 10:30:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 11:00:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 11:30:00;158;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 12:00:00;156;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 12:30:00;126;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 13:00:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-26 13:30:00;120;B;PT30M;0;0
